name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.9937061149691359,0.174560546875,0.17352294921875,0.6151123046875,1.0,2073600
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9947208814082434,0.160552978515625,0.1597900390625,0.5303955078125,0.9993150095396577,1393225
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.994783994408948,0.1494140625,0.1485595703125,0.525146484375,0.9996195756913886,1991754
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.1580817150881433,193.15277099609375,6.29359769821167,912.0533447265625,0.994314799877618,536229
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.7926010147196272,1.304443359375,0.7591552734375,243.15963745117188,0.9982245900743804,1388758
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.1689600955968092,159.96768188476562,6.07452392578125,1153.921630859375,0.9976969380517753,1348999
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.6489679913975493,6.398193359375,3.1187744140625,338.61602783203125,0.9944378261468435,945777
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.8746068699186224,1.1273193359375,0.8948974609375,39.42144012451172,0.99790706539996,1057538
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.9560618298493527,0.882720947265625,0.826904296875,10.916481018066406,0.9984610717747245,809706
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.7790241051329001,5.683929443359375,3.763153076171875,47.989013671875,0.9971428766565055,437998
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.6808778928321981,3.7279052734375,1.661102294921875,188.426025390625,0.998841164641241,1706632
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.9761391295158143,0.321044921875,0.3106689453125,6.340576171875,0.9989500693218174,1211188
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.478551579745852,18.37371826171875,1.46734619140625,899.4595336914062,0.9975338965273938,1307742
sample_7000013,5.63,22.49,279.0,53.97,2.693,1.975,0.990970047113253,0.24993896484375,0.247314453125,1.070068359375,0.9985945494872301,954933
sample_7000014,48.82,74.23,195.45,325.46,2.407,2.655,0.010559480054897485,294.0294189453125,7.396728515625,693.908203125,0.8656590532270205,1049957
sample_7000015,13.02,54.33,207.26,168.38,1.555,2.908,0.6070216649825588,7.0289306640625,2.8367919921875,270.24346923828125,0.9965162037037038,2066376
sample_7000016,2.88,7.34,233.49,209.41,2.849,1.665,0.9617449554834226,1.0216064453125,0.97216796875,7.057188987731934,0.998633803046583,551143
