name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.9808039766670814,0.4150390625,0.4063720703125,1.7900390625,0.9998524305555555,2073294
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9859646653159458,0.37921142578125,0.37335968017578125,1.38525390625,0.998673067502132,1392343
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.9840331670257684,0.3648681640625,0.358154296875,1.47747802734375,0.9985987305261436,1989687
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.10835562777363598,238.953369140625,6.209629058837891,777.8263549804688,0.9959744542645046,537877
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.5785948507417569,5.9053955078125,1.2745361328125,296.154052734375,0.9971493695886825,1389404
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.06296053035918314,361.74725341796875,6.5640869140625,1381.760498046875,0.9945181066701033,1350481
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.2053918134085192,113.41046142578125,6.13134765625,733.9236450195312,0.9965037575405801,947696
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.6702921844627149,3.8737640380859375,1.801910400390625,511.66693115234375,0.9964492202698744,1057688
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.8586350493043027,2.4059066772460938,1.91845703125,28.516063690185547,0.9976084812623274,809260
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.483928155844867,16.354461669921875,5.39862060546875,309.0200500488281,0.9966821378948063,438282
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.361789601534125,33.76513671875,4.08294677734375,237.6689453125,0.9987214416286903,1706771
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.9188354347535066,0.8406772613525391,0.74444580078125,21.889266967773438,0.9980379591806439,1210134
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.26489089151729567,349.4037170410156,2.05517578125,1235.2445068359375,0.9845364597947954,1291192
