name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.9540378464754486,0.57537841796875,0.54803466796875,3.8091278076171875,0.9998413387345679,2073271
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9559632710903275,0.37603759765625,0.35626220703125,5.092193603515625,0.9978655688635643,1390839
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.9513102006142586,0.5118408203125,0.48443603515625,5.34185791015625,0.9984526766485669,1989390
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.054294606738218565,456.203857421875,7.16607666015625,1307.243896484375,0.9938782966049675,535928
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.5308245835950146,8.1748046875,1.13031005859375,801.22412109375,0.9754086455845282,1356612
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.0478556925818968,553.7101440429688,6.834716796875,1342.5286865234375,0.966154601778814,1306156
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.10393400907044943,365.9837646484375,6.59033203125,951.2940673828125,0.9873627350614398,938432
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.6277479925927195,3.5604248046875,1.4708404541015625,1130.712890625,0.9918545561629768,1050858
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.740217718377774,2.9251708984375,1.8125,1486.709228515625,0.9964131657914479,807557
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.34235170502514406,186.15274047851562,4.222320556640625,1247.271240234375,0.9924138245070807,435888
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.226717219810287,341.9014892578125,3.29315185546875,727.4679565429688,0.9706741142876544,1658189
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.8618399244414313,1.191619873046875,0.97503662109375,1384.052490234375,0.9905062507940332,1200658
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.26457022772713573,274.12921142578125,2.2973175048828125,1053.9130859375,0.7772163061729073,1018807
sample_7000013,5.63,22.49,279.0,53.97,2.693,1.975,0.959585876207931,0.605224609375,0.57568359375,6.307487487792969,0.9971112241501661,952662
sample_7000014,48.82,74.23,195.45,325.46,2.407,2.655,0.012773038081407225,361.5423583984375,6.10198974609375,853.613037109375,0.4444941557155121,538478
sample_7000015,13.02,54.33,207.26,168.38,1.555,2.908,0.05304218175081552,274.12908935546875,7.262939453125,736.590576171875,0.8642467206790123,1792102
sample_7000016,2.88,7.34,233.49,209.41,2.849,1.665,0.720604922508647,3.6513671875,2.22174072265625,1341.8416748046875,0.9953083389380676,549029
sample_7000017,66.9,21.38,96.19,56.06,1.696,2.197,0.31054433734138237,210.85562133789062,3.6485595703125,1348.2869873046875,0.9950332935822972,992087
sample_7000018,19.01,5.72,121.04,241.64,1.538,1.832,0.9517286230077076,0.508544921875,0.481689453125,5.986579895019531,0.999047354342876,1958987
sample_7000019,52.01,29.74,217.28,323.96,2.489,2.099,0.17299879510184205,417.51947021484375,3.452880859375,1211.94775390625,0.9750583223109859,870613
sample_7000020,22.34,62.15,301.89,15.74,2.995,2.03,0.15769426496214164,248.15878295898438,5.559539794921875,976.8001098632812,0.9759674762792999,1037552
sample_7000021,43.09,11.51,177.38,94.14,2.157,2.645,0.79743940742886,0.9993896484375,0.71002197265625,1534.602783203125,0.9962613737434248,1629779
sample_7000022,30.7,64.47,238.18,310.37,2.928,1.564,0.012056674880175637,507.835205078125,7.86456298828125,1121.439697265625,0.8328907786045283,599419
sample_7000023,7.02,20.33,3.99,337.63,1.63,1.573,0.9492849477438895,0.402099609375,0.378173828125,10.149246215820312,0.9977302679748133,1594359
sample_7000024,31.41,27.06,1.99,317.39,2.899,1.711,0.5508811666322643,11.11102294921875,3.7791900634765625,1317.78076171875,0.9965955632980597,537753
sample_7000025,2.13,32.21,262.98,228.87,2.639,2.557,0.9575522619145583,0.5311279296875,0.50433349609375,5.763568878173828,0.9981303327800789,1640535
