name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.9552429476344223,0.549560546875,0.5233154296875,3.01605224609375,0.9999975887345679,2073595
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9648625575252019,0.4022216796875,0.38568115234375,2.0352706909179688,0.9983413158702783,1391564
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.9415557693805412,0.5115966796875,0.4781494140625,19.97078514099121,0.9988416637683167,1990205
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.044036195763526464,476.922119140625,7.053436279296875,1491.170166015625,0.9959447673611176,537853
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.49694717591011156,15.094390869140625,1.1824951171875,919.2212524414062,0.9869148465887241,1372991
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.03146634873499976,588.742919921875,7.1548919677734375,1495.758056640625,0.9929112170560191,1350395
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.08843954140504116,441.01373291015625,5.325958251953125,780.30712890625,0.9957605728011981,946805
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.5661914383081315,4.9454803466796875,1.52496337890625,1395.2083740234375,0.9956473946170359,1055212
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.8119319889245183,2.54864501953125,1.8565673828125,416.351318359375,0.9974441998014074,808633
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.2526445573377476,432.29571533203125,3.8621158599853516,1363.0859375,0.9963827875285793,437975
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.24808639537660826,249.4592742919922,3.150604248046875,615.1025390625,0.9892106651259458,1691572
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.8538521213042513,0.84124755859375,0.6769752502441406,1333.9852294921875,0.9983915681880232,1210411
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.20294491467697134,246.11558532714844,2.2138671875,1070.53125,0.9514190321013936,1247846
