name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.9507976299217079,0.56646728515625,0.538818359375,2.8595924377441406,0.9999604552469136,2073518
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9462344193397751,0.3894500732421875,0.36456298828125,12.12603759765625,0.9985509013823827,1391950
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.9424308921523709,0.5103759765625,0.479248046875,8.617828369140625,0.9989616482341245,1990512
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.06291680587415145,837.6812744140625,6.275360107421875,1698.0848388671875,0.9935005451753833,535771
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.5128789153891945,10.6104736328125,1.3521728515625,957.30078125,0.9865187551394775,1372437
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.04708818585619458,826.984375,6.5958251953125,1587.0390625,0.9847673836363462,1331438
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.018456907477820025,691.6231689453125,6.5079345703125,1223.057861328125,0.9031933597140696,858432
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.6385900394762408,3.5416259765625,1.6476593017578125,1457.3153076171875,0.9956233020006549,1055065
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.7830457193113096,2.5992431640625,1.7698211669921875,1087.871826171875,0.9970646745920453,808433
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.2258862778164754,626.4501342773438,3.5252609252929688,1588.7567138671875,0.9933335002423975,436432
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.24092753165321712,278.1083984375,2.79583740234375,646.9683837890625,0.9920830487542452,1696589
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.8635858382019201,0.883544921875,0.72503662109375,1411.9185791015625,0.9973793377651698,1209112
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.22695308072520118,260.59796142578125,2.993896484375,1056.313232421875,0.9280142562931504,1217538
sample_7000013,5.63,22.49,279.0,53.97,2.693,1.975,0.9005140116386322,0.8170166015625,0.72296142578125,1534.0869140625,0.9977630273069631,954064
sample_7000014,48.82,74.23,195.45,325.46,2.407,2.655,0.006670538567872051,540.7230224609375,7.71356201171875,944.6112060546875,0.7283087289493994,883287
sample_7000015,13.02,54.33,207.26,168.38,1.555,2.908,0.20374379150554936,228.1505126953125,4.94610595703125,564.7332153320312,0.9995973186728395,2072765
sample_7000016,2.88,7.34,233.49,209.41,2.849,1.665,0.42601162064930786,159.626220703125,2.6543803215026855,1515.568359375,0.9958862577449806,549539
sample_7000017,66.9,21.38,96.19,56.06,1.696,2.197,0.1012523629489603,215.1351318359375,3.42822265625,1529.4254150390625,0.00848916187579987,8464
sample_7000018,19.01,5.72,121.04,241.64,1.538,1.832,0.9527979182080262,0.497100830078125,0.4732666015625,3.2323150634765625,0.9994329313877577,1959850
sample_7000019,52.01,29.74,217.28,323.96,2.489,2.099,0.17259057083857005,344.77020263671875,4.964946746826172,1233.67333984375,0.981080073153168,876027
sample_7000020,22.34,62.15,301.89,15.74,2.995,2.03,0.16897957786716533,212.94757080078125,6.03216552734375,1151.97509765625,0.9892046480483915,1051849
sample_7000021,43.09,11.51,177.38,94.14,2.157,2.645,0.8812966903275883,0.80950927734375,0.68408203125,418.31597900390625,0.998522053673045,1633636
sample_7000022,30.7,64.47,238.18,310.37,2.928,1.564,0.0015954847948782748,704.330810546875,5.99169921875,1337.253173828125,0.8247461357610925,593550
sample_7000023,7.02,20.33,3.99,337.63,1.63,1.573,0.9450802866084933,0.403350830078125,0.37823486328125,11.686111450195312,0.9982898227873448,1595347
sample_7000024,31.41,27.06,1.99,317.39,2.899,1.711,0.4709479440655046,19.297340393066406,3.2007904052734375,1553.5623779296875,0.9971438414776452,538344
sample_7000025,2.13,32.21,262.98,228.87,2.639,2.557,0.9022241869369205,1.25469970703125,1.13812255859375,353.834228515625,0.9988195218607401,1642308
sample_7000026,64.17,52.5,37.67,233.54,1.807,2.67,0.18568100964631712,393.56591796875,2.502685546875,706.321533203125,0.908948350790199,1297801
sample_7000027,73.52,10.98,319.13,114.27,1.531,1.596,0.018411601757304594,784.27783203125,7.239778518676758,1743.9208984375,0.9643787994274136,518749
sample_7000028,33.25,18.57,261.82,81.7,2.049,1.961,0.879464058577345,1.29541015625,1.136566162109375,1504.093505859375,0.9973150197966548,1375822
sample_7000029,48.81,16.18,23.95,343.66,1.716,2.198,0.6914916870277434,1.78955078125,1.01922607421875,1538.1253662109375,0.9959214567655651,1592090
sample_7000030,19.26,68.37,285.46,44.41,1.555,2.347,0.009340014859545677,612.7011108398438,8.98046875,1031.284423828125,0.836754831985016,1581475
sample_7000031,12.78,71.3,166.39,202.83,1.518,2.675,0.05593923566035911,120.93423461914062,8.113922119140625,341.2757568359375,0.9494392232454096,1964310
sample_7000032,63.47,1.1,151.68,203.82,2.159,2.233,0.10346009664827327,571.7417602539062,6.085148334503174,1645.6005859375,0.9894223054292591,813879
sample_7000033,41.39,68.84,104.62,233.85,2.284,2.082,0.008092600450310974,684.2301025390625,7.8748321533203125,1203.17724609375,0.46476677447981857,523194
sample_7000034,73.03,54.84,142.35,260.04,2.561,2.495,0.017243776244625454,963.479736328125,7.946317672729492,1693.62451171875,0.8425503990290646,597027
sample_7000035,56.75,19.47,176.83,192.92,2.93,2.524,0.584826779629545,6.57098388671875,2.033536911010742,1550.5980224609375,0.9976250084673011,721653
sample_7000036,51.02,66.81,187.24,351.55,1.609,1.704,0.28797540681180145,154.46661376953125,2.2177734375,523.1311645507812,0.9036556302034101,1281981
sample_7000037,44.7,57.13,145.9,164.05,2.411,1.957,0.9040171126040613,0.814453125,0.721435546875,352.22503662109375,0.9981869363627796,1292147
sample_7000038,2.27,32.8,93.67,161.4,2.571,2.555,0.9460265534336398,0.495849609375,0.4644775390625,10.654815673828125,0.9986514017849094,1661706
sample_7000039,27.45,70.03,274.44,60.33,2.863,2.011,0.002533187004825834,847.5671997070312,7.901123046875,1413.9254150390625,0.668030506629387,665170
sample_7000040,2.72,14.54,73.06,67.11,2.303,1.741,0.9111513234701025,1.6515960693359375,1.5412750244140625,194.99093627929688,0.9932742989668986,942220
sample_7000041,26.81,8.94,358.78,277.64,2.757,2.442,0.9709993950064238,0.50146484375,0.484619140625,2.746216297149658,0.9983957759108489,1176872
sample_7000042,43.66,32.21,287.49,28.09,2.309,2.503,0.7033395653784906,2.6539306640625,1.5146484375,1344.962646484375,0.9975537221795856,1414196
sample_7000043,6.7,25.68,49.4,18.91,1.595,2.06,0.9449552194361232,0.57513427734375,0.54296875,5.2695159912109375,0.9997994256323409,2068643
sample_7000044,54.66,61.78,133.44,332.6,1.688,2.839,0.2918780891214563,220.8570556640625,1.77410888671875,503.99005126953125,0.9130702033794322,1550805
sample_7000045,64.2,61.25,116.17,271.93,1.528,1.547,0.014813484312125952,885.6505126953125,7.9134063720703125,1514.53955078125,0.8969195806256008,1202553
sample_7000046,61.7,5.57,65.4,62.25,2.259,2.301,0.02959670045815867,948.571044921875,7.025827407836914,1741.55712890625,0.9958949913919214,800596
sample_7000047,74.89,74.48,215.28,282.29,1.697,1.505,0.014641130646303537,607.58837890625,7.55352783203125,1434.087646484375,0.9562324259867211,454678
sample_7000048,57.78,31.57,325.38,200.86,2.856,2.435,0.06509351221940408,358.1256103515625,6.416015625,1422.3134765625,0.9640803678345842,843740
sample_7000049,23.05,72.77,102.15,295.25,1.736,2.343,0.0005988449142482988,766.4564208984375,6.2843017578125,1197.150146484375,0.9021934101319787,1591397
sample_7000050,49.94,43.73,300.17,95.64,1.894,1.99,0.40220086315101705,206.274169921875,1.7532958984375,1375.9984130859375,0.9889244003947604,1453975
sample_7000051,22.11,34.82,186.09,254.42,2.067,1.942,0.9351529702264323,0.5565185546875,0.51318359375,28.039642333984375,0.9987643007795961,1535691
sample_7000052,10.01,0.59,169.89,135.45,2.659,1.857,0.9459708780122106,0.7589836120605469,0.70947265625,11.267775535583496,0.9986207737679734,769659
sample_7000053,25.06,52.47,12.85,106.92,1.566,1.645,0.2862332766888712,417.7253723144531,2.007349967956543,1521.48291015625,0.9955003574400263,1698901
sample_7000054,40.84,36.05,344.56,156.74,1.923,1.874,0.7022917343146805,1.5291748046875,0.8494873046875,1122.8236083984375,0.9883947331259334,1385850
sample_7000055,55.14,61.52,67.6,277.11,1.634,1.809,0.021655541324919352,954.63427734375,7.635763168334961,1565.6827392578125,0.9268394624180705,1414788
sample_7000056,22.95,8.65,336.29,37.12,2.064,2.671,0.9321139912181992,0.56689453125,0.5262451171875,28.804718017578125,0.9993815985049679,1986153
sample_7000057,65.51,40.91,31.43,114.07,1.819,1.74,0.00752992229842424,974.065185546875,7.022987365722656,1769.2889404296875,0.9302728786778836,653526
sample_7000058,14.03,41.41,352.32,295.46,2.462,2.466,0.8861699560929309,0.74249267578125,0.6395263671875,1118.8262939453125,0.998167643052777,1757348
sample_7000059,56.64,18.35,121.83,144.99,2.394,2.074,0.10628260493299137,654.99365234375,5.697509765625,1582.0172119140625,0.9957213645485712,699089
sample_7000060,1.33,45.4,184.13,110.22,2.561,1.982,0.7971353696077093,1.3472900390625,0.9852590560913086,1346.8701171875,0.9960096704775349,1267249
sample_7000061,1.65,45.39,269.0,232.02,1.958,1.697,0.6333659293602142,2.09625244140625,1.00341796875,1541.9542236328125,0.9960783287191297,1445984
sample_7000062,62.03,29.6,231.3,4.55,1.891,1.644,0.006102013509691888,598.50439453125,9.441864013671875,1638.503173828125,0.9259873520958677,710749
sample_7000063,62.46,39.3,81.73,233.81,1.895,2.045,0.39124460643348,261.8416748046875,1.76873779296875,1151.2191162109375,0.9897015175399788,1152067
sample_7000064,41.53,17.9,104.6,172.58,2.757,2.713,0.9394024247990668,0.6724853515625,0.621826171875,16.985366821289062,0.9980556600255679,1249918
sample_7000065,29.85,33.83,211.17,194.89,2.779,2.076,0.9700195935189369,0.536468505859375,0.51751708984375,2.4415416717529297,0.9982001348845051,947252
sample_7000066,12.97,58.46,27.71,6.53,2.832,2.081,0.7517729023517815,2.20849609375,1.45343017578125,630.6392822265625,0.995801714949331,1251902
sample_7000067,28.6,29.69,186.68,23.25,2.277,2.353,0.872537558990345,0.72418212890625,0.597259521484375,238.2982635498047,0.9965046650615258,1547499
sample_7000068,37.49,64.55,351.44,76.68,2.781,2.397,0.04614037810327607,674.7852783203125,6.84130859375,1557.285888671875,0.9704644120184402,1256535
sample_7000069,60.9,72.18,181.58,34.69,2.092,2.213,0.009764393725011138,768.1612548828125,5.1727294921875,1082.0819091796875,0.9025046464288875,1070727
sample_7000070,3.41,17.39,181.66,72.7,2.042,2.182,0.9404243887893449,0.48748779296875,0.4561920166015625,13.7066650390625,0.9989496689068721,1861265
sample_7000071,69.9,2.93,152.95,125.19,1.67,2.746,0.006617129985496592,892.5601806640625,8.362297058105469,1639.8116455078125,0.9349795362749751,1252809
sample_7000072,68.87,34.57,62.63,306.36,2.414,2.158,0.008734509138543496,903.1217651367188,7.005532741546631,1712.8056640625,0.8709956206487215,434369
sample_7000073,11.14,24.34,299.84,5.9,2.494,2.853,0.9459837572965468,1.1678619384765625,1.11407470703125,20.562728881835938,0.9959291963501389,1961373
sample_7000074,39.49,50.25,68.28,78.29,2.514,2.215,0.9540515340727401,0.476806640625,0.450927734375,5.501594543457031,0.9986936655891481,1485425
sample_7000075,39.98,4.29,154.4,90.34,2.234,1.89,0.8880010876279114,0.9543609619140625,0.81121826171875,513.1978759765625,0.9980373512254536,934143
sample_7000076,51.86,48.24,207.61,209.81,2.956,1.806,0.585013026309131,4.75048828125,1.3653564453125,1490.585693359375,0.996796036965593,573071
sample_7000077,46.32,28.14,4.7,196.63,2.377,1.932,0.7051212535626223,1.529998779296875,0.88623046875,1197.889892578125,0.9945824085712116,1165574
sample_7000078,69.74,28.38,261.47,103.75,2.296,1.747,0.012504668824701195,892.4269409179688,7.821990966796875,1746.3199462890625,0.9097357411353292,385536
sample_7000079,44.61,23.4,343.01,20.43,2.871,1.77,0.1582873302401192,609.0883178710938,5.86480712890625,1564.2911376953125,0.9953501503247731,472432
sample_7000080,4.59,63.09,225.6,287.63,2.726,2.188,0.05292479709119129,596.9202270507812,7.493114471435547,1461.526123046875,0.977926925763468,1391635
sample_7000081,41.69,64.58,95.11,185.87,2.069,1.596,0.0,822.2638549804688,nan,822.2638549804688,9.620231732141964e-07,1
sample_7000082,17.73,53.9,301.75,322.72,2.82,2.141,0.613877612971772,4.242919921875,1.779296875,1122.11669921875,0.9930529554803883,1238628
sample_7000083,58.54,1.11,214.28,266.88,2.384,1.674,0.09804376530924679,581.4530029296875,6.42510986328125,1694.2701416015625,0.9452752967778406,418048
sample_7000084,28.17,66.25,144.94,256.88,1.826,1.656,0.03469048938863272,656.4945678710938,7.450599670410156,1584.8631591796875,0.9511011328250726,1445007
sample_7000085,1.03,22.53,301.68,136.59,1.605,2.24,0.9111311220254732,0.7138671875,0.64898681640625,673.0031127929688,0.9998615933641976,2073313
sample_7000086,14.74,8.19,105.74,183.48,2.475,1.749,0.9345250045074478,0.90850830078125,0.83892822265625,19.316959381103516,0.9969188839144579,782039
sample_7000087,50.56,30.03,133.24,155.12,1.542,1.923,0.8298374589900535,1.2401123046875,0.9654541015625,1311.506103515625,0.9986244178826944,1574618
sample_7000088,23.01,60.37,150.69,90.95,1.511,1.511,0.3565606528178104,294.0231018066406,2.08154296875,1566.6488037109375,0.9934297298475578,1709022
sample_7000089,7.24,9.95,200.03,217.91,2.127,2.133,0.9446236509276177,0.413482666015625,0.38818359375,8.126922607421875,0.9986465016823021,1617315
sample_7000090,58.13,10.32,17.41,73.72,1.64,2.505,0.344112730894483,291.9870910644531,2.684814453125,1220.161376953125,0.9850491528420887,1504042
sample_7000091,32.42,61.54,15.14,337.82,1.928,1.971,0.2820056668830447,216.70391845703125,3.64031982421875,968.12109375,0.9945079771194878,1591351
sample_7000092,43.11,12.61,198.55,206.97,1.711,1.916,0.9088804165407107,0.6336669921875,0.5624847412109375,415.714599609375,0.9979948140846755,1534928
sample_7000093,71.32,34.63,42.89,85.65,1.966,2.407,0.005991973979248424,1092.3878173828125,6.882621765136719,1782.3194580078125,0.9575321512695201,744329
sample_7000094,50.51,73.0,72.65,245.12,1.722,1.581,0.00950601399984635,659.28955078125,7.926025390625,1198.4072265625,0.9352763317748711,1132441
sample_7000095,18.41,6.08,175.94,300.55,2.514,2.615,0.9414804880636102,0.4512939453125,0.42132568359375,16.74396324157715,0.9987132874086235,1687403
sample_7000096,60.23,36.21,245.64,83.98,2.094,2.367,0.5797552375025928,6.1187744140625,3.1422119140625,672.5480346679688,0.0036737110577864615,4821
sample_7000097,25.4,0.18,71.56,134.67,2.01,1.856,0.9207764825826185,1.80120849609375,1.71136474609375,221.58761596679688,0.9913030824204249,1239796
sample_7000098,61.1,26.65,103.84,157.25,2.472,1.66,0.06101123507820853,797.0059814453125,5.8505859375,1702.7208251953125,0.9543434654379711,384421
sample_7000099,56.84,31.97,85.66,331.34,2.022,1.892,0.3499639699505072,187.76954650878906,3.1905517578125,1410.69287109375,0.9952470982821057,927004
sample_7000100,57.6,67.72,208.22,334.59,2.809,2.912,0.0019698196460302022,797.5076293945312,8.25469970703125,1163.0977783203125,0.7301311464352808,736108
sample_7000101,42.19,28.97,216.7,106.06,2.576,2.376,0.6735639641898457,2.947509765625,1.5560302734375,1347.423095703125,0.995873300541313,1180559
sample_7000102,11.18,62.17,47.34,141.1,2.17,1.957,0.05058831033398936,637.5963134765625,5.5462646484375,1198.8218994140625,0.9192726178382556,1301269
sample_7000103,28.02,65.87,212.38,195.7,2.374,1.714,0.3969333250247261,226.12258911132812,2.2965087890625,799.2985229492188,0.9908021156717067,1251714
sample_7000104,30.41,59.83,72.05,257.04,2.674,2.188,0.3618478152533951,160.32064819335938,2.37384033203125,1218.5731201171875,0.9740320110771054,1374553
sample_7000105,39.77,18.3,146.35,152.84,1.963,1.997,0.9407357740593524,0.5312652587890625,0.494110107421875,19.320571899414062,0.9983800876527914,1349735
sample_7000106,18.84,60.67,275.01,167.81,2.058,2.693,0.3319159251263623,225.076904296875,1.54437255859375,576.973876953125,0.9898947761564909,1971909
