name,theta_cam_deg,theta_proj_deg,phi_cam_deg,phi_proj_deg,r_cam_m,r_proj_m,bin_acc,med_du,med_du_correct,p95_du,iou,valid_px
sample_7000000,13.73,0.89,114.51,96.7,2.017,2.69,0.8220372618208842,0.753662109375,0.5921630859375,897.1168823242188,0.9999985532407407,2073597
sample_7000001,1.76,13.23,260.01,353.62,2.052,1.876,0.9698539802166746,0.207275390625,0.20037841796875,0.76611328125,0.9991276300233015,1392688
sample_7000002,1.15,15.18,195.72,231.4,2.138,2.415,0.9600310906116596,0.1806640625,0.172119140625,1.1716351509094238,0.9994856026453574,1991598
sample_7000003,55.51,22.65,135.69,198.78,2.119,1.563,0.07024430286465864,484.3280029296875,5.8636474609375,1452.5098876953125,0.9939917107861772,536015
sample_7000004,35.46,45.2,337.74,196.7,1.751,1.708,0.49728155085961967,14.88641357421875,0.6580810546875,1141.7156982421875,0.989817778199521,1376888
sample_7000005,37.42,59.38,173.47,115.45,2.307,2.111,0.05184791791679678,674.2156982421875,5.7784423828125,1457.81982421875,0.9971893345601641,1348193
sample_7000006,36.88,62.12,100.39,177.95,2.313,1.582,0.3164541531560085,207.70068359375,3.370147705078125,1045.5855712890625,0.9925280880553565,943391
sample_7000007,40.92,27.88,223.69,306.32,1.899,1.634,0.5957805068502875,3.84912109375,1.189178466796875,1502.68798828125,0.9971516021530037,1056525
sample_7000008,40.28,41.85,46.01,89.96,2.226,1.552,0.8607513905829636,1.3309326171875,1.0696182250976562,943.521240234375,0.9980401636938165,809193
sample_7000009,44.35,41.75,21.48,43.14,2.9,1.528,0.5594258123689128,11.26165771484375,3.6529541015625,1399.176025390625,0.9953806364658796,437209
sample_7000010,58.81,40.97,277.05,175.52,1.509,2.815,0.45739943695126045,40.81854248046875,1.3541259765625,471.51434326171875,0.9980250900145954,1706069
sample_7000011,45.56,8.04,173.32,297.06,2.512,2.441,0.8884624600309011,0.47882080078125,0.402191162109375,1444.064208984375,0.9983683745116672,1210310
sample_7000012,49.33,65.1,236.47,75.36,2.673,2.169,0.3253997854304514,154.5628662109375,2.15447998046875,1000.9112548828125,0.9920080513287433,1303074
sample_7000013,5.63,22.49,279.0,53.97,2.693,1.975,0.9602823203927754,0.3209686279296875,0.3056640625,2.3546066284179688,0.9986719050888327,954235
sample_7000014,48.82,74.23,195.45,325.46,2.407,2.655,0.001471160653808314,641.2501220703125,6.78997802734375,1042.0869140625,0.5386473928414887,652546
sample_7000015,13.02,54.33,207.26,168.38,1.555,2.908,0.4333849610610589,30.95745849609375,2.52630615234375,434.94171142578125,0.9948133680555555,2062845
sample_7000016,2.88,7.34,233.49,209.41,2.849,1.665,0.8922309407060337,1.4869384765625,1.285400390625,284.2552490234375,0.9978191903993618,550427
sample_7000017,66.9,21.38,96.19,56.06,1.696,2.197,0.23544707878165275,277.24029541015625,2.6829833984375,1102.62451171875,0.8751697804421711,996793
sample_7000018,19.01,5.72,121.04,241.64,1.538,1.832,0.9494947794557248,0.1898193359375,0.1783447265625,5.8474273681640625,0.9995614911747549,1960332
sample_7000019,52.01,29.74,217.28,323.96,2.489,2.099,0.14344952614169074,327.3559265136719,3.287506103515625,1265.1878662109375,0.9933720987532647,886974
sample_7000020,22.34,62.15,301.89,15.74,2.995,2.03,0.2842810375410632,231.90328979492188,3.161651611328125,679.505615234375,0.9958294455815073,1058734
sample_7000021,43.09,11.51,177.38,94.14,2.157,2.645,0.6690585482958455,0.78558349609375,0.4317626953125,1472.363525390625,0.9989265194301816,1634975
sample_7000022,30.7,64.47,238.18,310.37,2.928,1.564,0.025389451764046295,310.3006591796875,7.938385009765625,1070.327880859375,0.9714951862087555,699188
sample_7000023,7.02,20.33,3.99,337.63,1.63,1.573,0.9701519085967965,0.18292236328125,0.176605224609375,0.7366030216217041,0.999062021116101,1596618
sample_7000024,31.41,27.06,1.99,317.39,2.899,1.711,0.8060613496476327,2.9029693603515625,2.112091064453125,1124.1651611328125,0.9969106745737584,537933
